"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"KRT19",2.76414069888545,8.42469034732441,120.366384662622,5.25924078247806e-28,1.52534164971194e-25
"CDC42EP3",1.84394336629923,5.75374746381226,120.2897896681,5.46627484254168e-28,1.54522568564375e-25
"ENTREZ_729884",5.09870824487856,1.78803904291485,120.280572637616,5.49173143104876e-28,1.54522568564375e-25
"APCDD1L",3.88046048001923,-0.974170168184889,119.942891157496,6.51083384834992e-28,1.80503293689842e-25
"GPR87",4.32355262596989,-0.268094833476168,119.765200865311,7.12095664161573e-28,1.94556919721362e-25
"SYT1",3.86696600076164,3.19185077194721,118.988083745331,1.05360547867364e-27,2.83751006913649e-25
"S100A6",2.00735587189373,11.2042503021496,118.739888950768,1.19404013359602e-27,3.17042881669749e-25
"PODNL1",3.49634865944157,1.58717915456228,118.132484638745,1.62185000635979e-27,4.24654393331871e-25
"MICAL2",1.71171198760151,6.18828292032928,117.648326770378,2.0702438304519e-27,5.34633379338072e-25
"TGM2",2.09373339397096,7.37320374212819,117.395773977086,2.35137374052483e-27,5.99028348059109e-25
"SRPX2",3.01016290831781,1.84448230579059,114.70127765799,9.14919383739564e-27,2.2400078210725e-24
"KCNN4",3.27298717996956,5.71185211157638,114.560939566492,9.82015300557074e-27,2.37345544180794e-24
"FUT3",3.63987745210415,1.05412984989376,114.391806881232,1.06944978868601e-26,2.55205916662134e-24
"CDKN2B",1.93542853798268,3.62891140503212,114.171698793562,1.19499881106576e-26,2.81601469827646e-24
"KCNQ3",2.58948596324935,2.52009406468833,113.366028891791,1.79402428405881e-26,4.17021928738364e-24
"MBOAT2",1.58950480617147,4.9946256118834,113.339045745109,1.81860529025021e-26,4.17021928738364e-24
"FCER1A",3.12771324617275,2.4004503976364,113.320139262871,1.83602907305772e-26,4.17021928738364e-24
"COL1A1",3.33657971138093,10.0176890860178,112.306834528125,3.06078763854678e-26,6.78846688963339e-24
"KRT6C",6.86602593820731,-0.315499375389428,112.252431293491,3.14593779011349e-26,6.8961882813046e-24
"ELF3",2.2425004255349,6.10279019708978,111.431659643654,4.75931781974112e-26,1.02983266291965e-23
"CSF2",3.25593413634329,0.344936309416014,111.411815107363,4.80719681396823e-26,1.02983266291965e-23
"CCL13",3.23680351586031,2.15850611572907,111.2843425572,5.12644770480411e-26,1.08588530484233e-23
