"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"MIRLET7BHG",1.53426666390206,0.186423728456084,114.769698942012,8.83889565585233e-27,5.37518906142349e-25
"EBF4",1.64229862697582,5.14280626285422,114.604110081915,9.60867385411054e-27,5.80585639415679e-25
"C5orf47",1.67145196128142,-2.56008408424576,114.300846116709,1.11964957168265e-26,6.63762066835263e-25
"HAP1",1.71946599230704,1.2642337753685,114.258818184825,1.14363354725009e-26,6.75855160901526e-25
"C9orf24",1.6723108418788,-1.34103427373602,114.125976217843,1.22287346666436e-26,7.15950639551447e-25
"NUPR1",1.58320864561176,7.7205357504854,114.089375448004,1.24565495248271e-26,7.27030562359256e-25
"CAMP",2.11304542936372,0.204875688533444,113.86342716946,1.39599877648057e-26,8.12264473278137e-25
"CD1B",-3.2847387885375,-0.393671407451373,113.838401342003,1.41372928631635e-26,8.20049984788796e-25
"TNFSF11",-2.80783498980052,0.157274211050079,113.651694378642,1.55331517509796e-26,8.90063759299291e-25
"CDH6",-1.54726574349432,4.7879348758544,113.384559993279,1.77733563095426e-26,1.00922684682981e-24
"CDSN",-2.12345034150298,4.00136940057191,113.365173161783,1.79479870787702e-26,1.01608243966659e-24
"VTCN1",-4.0264583044825,2.8661264285779,113.322359012373,1.83397478288895e-26,1.03206246588127e-24
"SERPINA1",-2.07381270335706,10.9233708472455,112.948007271754,2.21507864253104e-26,1.22101352540922e-24
"CPB2",1.92978608658157,-2.03885508438299,112.248325918992,3.15245871212788e-26,1.71763444049233e-24
"SFN",-2.55961353114204,4.9710888105798,112.116517305717,3.36916331108458e-26,1.81992741376981e-24
"DHRS9",-2.32128603998386,1.6864626083708,112.011963748033,3.55160541055368e-26,1.90212685226585e-24
"MT1F",1.97841923971887,7.00951336292914,111.585149073612,4.40474870795361e-26,2.31950621905982e-24
"SPRR1B",-5.16293586092879,-0.459791491199251,111.495219104634,4.6091543370376e-26,2.41366048782869e-24
"HOXA13",2.2401285312089,-2.70262650703579,111.45891952344,4.69432439586915e-26,2.45145162080125e-24
"CD109",-1.75841048223311,4.98293695183311,110.428129996766,7.89566878609562e-26,4.0448138031379e-24
"SPOCK2",-2.05035005416839,8.54324726925921,110.31792423872,8.34704691600152e-26,4.24146976982374e-24
"IL1RAP",-1.50077997403413,5.260209856935,110.085215749647,9.38675396986276e-26,4.73152635935435e-24
"IGFL2",-3.51070531679482,3.03376129081323,109.900128384281,1.03054197099648e-25,5.11282815376889e-24
"NR0B2",2.85476849774361,-0.791484342261738,109.67195629075,1.15626148341902e-25,5.67652122016023e-24
"B3GNT3",-2.88044873956802,5.49535994921941,109.418050066841,1.31427306920652e-25,6.41882795354437e-24
"IGF2BP3",2.2511476849726,2.59769161072093,108.731421480407,1.8583524180439e-25,8.93715810840906e-24
"FAP",-2.14216140436725,3.3846820224221,108.600165976535,1.98558058093659e-25,9.47649749666241e-24
"BRS3",3.55814724865384,-2.92205922531167,108.201443897601,2.42802711880498e-25,1.15007957898773e-23
